#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  33
#! SET periodic_phi true
   -3.141592654 -119.860725906  -53.976777396
   -2.951193099 -128.300062580  -34.307751543
   -2.760793544 -132.850712136  -14.042205843
   -2.570393989 -133.938174475    1.315725962
   -2.379994435 -132.873132288    8.274823653
   -2.189594880 -131.347308239    6.433067439
   -1.999195325 -130.780909257   -0.984042547
   -1.808795770 -131.705985350   -8.157818446
   -1.618396215 -133.500221139   -9.351136981
   -1.427996661 -134.696838606   -1.840384505
   -1.237597106 -133.745226399   12.525013903
   -1.047197551 -129.809067823   28.468533132
   -0.856797996 -123.156351334   40.192572947
   -0.666398442 -114.991765960   43.949927815
   -0.475998887 -106.955859204   38.876588243
   -0.285599332 -100.645090674   26.142299170
   -0.095199777  -97.330755169    7.825447594
    0.095199777  -97.814294946  -13.168823927
    0.285599332 -102.228581305  -32.593164439
    0.475998887 -109.756665701  -44.865380580
    0.666398442 -118.485107491  -44.475344111
    0.856797996 -125.671936140  -28.625921144
    1.047197551 -128.511974495    0.280466988
    1.237597106 -125.209153470   34.283423978
    1.427996661 -115.821301657   62.372963848
    1.618396215 -102.441577857   74.955682723
    1.808795770  -88.543797601   67.608679306
    1.999195325  -77.815993999   42.573579227
    2.189594880  -72.969876288    7.403513070
    2.379994435  -75.003858735  -28.078884177
    2.570393989  -83.106348564  -55.096181108
    2.760793544  -95.094817308  -68.395620005
    2.951193099 -108.203612674  -67.061608855
