#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  57
#! SET periodic_phi true
   -3.141592654  107.819099055   48.565545408
   -3.031361332  112.636824933   38.720904586
   -2.921130011  116.318023986   27.894297733
   -2.810898690  118.792016016   17.182859517
   -2.700667369  120.138015304    7.578274058
   -2.590436048  120.532463466   -0.098809773
   -2.480204727  120.217079231   -5.267799475
   -2.369973405  119.488379041   -7.642387408
   -2.259742084  118.655038672   -7.273910228
   -2.149510763  117.986514990   -4.708524268
   -2.039279442  117.685511869   -0.760017630
   -1.929048121  117.848278884    3.527051910
   -1.818816799  118.445076011    7.039142821
   -1.708585478  119.339493850    8.767961423
   -1.598354157  120.290932228    8.048006247
   -1.488122836  121.008915406    4.590828878
   -1.377891515  121.205328698   -1.325976270
   -1.267660194  120.641140764   -9.014200229
   -1.157428872  119.172486092  -17.524331543
   -1.047197551  116.780850801  -25.781400424
   -0.936966230  113.550707140  -32.608931573
   -0.826734909  109.682087661  -37.361803118
   -0.716503588  105.431486819  -39.509939448
   -0.606272266  101.085387587  -38.963716509
   -0.496040945   96.933757764  -35.827953937
   -0.385809624   93.269290197  -30.317224256
   -0.275578303   90.325785542  -22.727541789
   -0.165346982   88.307743033  -13.519660337
   -0.055115661   87.371923583   -3.101520402
    0.055115661   87.622833709    7.884118382
    0.165346982   89.090869829   18.743249767
    0.275578303   91.701767620   28.576902913
    0.385809624   95.286819609   36.358587073
    0.496040945   99.565019306   40.998443109
    0.606272266  104.146101630   41.632503262
    0.716503588  108.543777221   37.664104823
    0.826734909  112.239609767   28.918676501
    0.936966230  114.737126262   15.909128159
    1.047197551  115.621853742   -0.316243976
    1.157428872  114.621202263  -18.113789688
    1.267660194  111.656196765  -35.538767492
    1.377891515  106.878575396  -50.633528228
    1.488122836  100.653168962  -61.645473704
    1.598354157   93.506490565  -67.198603563
    1.708585478   86.083685095  -66.654854172
    1.818816799   79.052197348  -60.098996818
    1.929048121   73.045872241  -48.192315004
    2.039279442   68.593597735  -32.209168451
    2.149510763   66.054496477  -13.729497320
    2.259742084   65.606058189    5.493618734
    2.369973405   67.234731587   23.674159985
    2.480204727   70.738332408   39.378704799
    2.590436048   75.777567341   51.399806956
    2.700667369   81.912580466   59.130101239
    2.810898690   88.656136486   62.335318852
    2.921130011   95.501486728   61.269906270
    3.031361332  102.013804805   56.395768910
